"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04976","Bile secretion","45/2364","83/7713",0.542168674698795,1.76892850590178,4.6820245469272,6.15308973272851e-06,0.000195780127859544,0.000167811538165323,"200931/9429/760/8647/123264/343/28234/8671/54576/115/54575/477/6550/111/6548/1244/482/5567/6256/9971/7366/54658/6513/7367/108/79799/109/570/10998/10599/6579/366/1576/6344/5243/6555/358/54600/54578/7363/64240/115072896/361/6822/10720",45
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","92/2364","212/7713",0.433962264150943,1.41588449382243,4.08180283905954,4.8394415513582e-05,0.00141150378581281,0.00120986038783955,"2906/3352/51/51196/64091/6662/2904/5906/10398/5021/115/84699/7137/477/1908/493/1258/268/11149/111/6548/6752/1907/5350/482/5567/6750/117/7432/116443/6755/1261/4881/5337/154/4852/27198/490/1909/108/492/2893/2770/109/3360/5595/489/5139/1259/64399/7434/1813/776/139760/5602/5881/5144/814/6751/487/1129/8843/338442/4886/627/2903/810/2737/116444/491/2892/2890/3972/3776/5348/815/163688/775/2641/5296/7074/10846/1816/64208/153/2891/5020/51806/116/1081/54714/610",92
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","32/2364","57/7713",0.56140350877193,1.83168581351857,4.18954352477156,5.38795259339736e-05,0.00145060262129929,0.00124337367539939,"140803/4494/4499/477/4495/4496/493/1811/6550/3162/340024/482/7421/115019/79901/1181/4502/4891/490/492/6543/4493/113235/6546/4501/6547/341208/491/55503/795/6569/10568",32
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","59/2364","125/7713",0.472,1.53998984771574,4.04620504997683,6.69277860409794e-05,0.0016717524334647,0.00143293065725545,"5593/5138/2788/1258/408/5567/1261/109/6543/5997/5137/6546/5136/6547/2774/81285/123041/810/5592/815/163688/5153/8590/143503/26539/390036/343171/51764/341276/219487/393046/26219/3000/144125/284521/26212/347168/338755/51806/282763/7932/4992/135941/343172/120776/143502/127069/390037/23538/284433/341152/158131/127062/219432/26211/283159/130075/127077/120796",59
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","23/2364","37/7713",0.621621621621622,2.02815886952943,4.16739391219673,7.16465328627727e-05,0.0016717524334647,0.00143293065725545,"2906/2563/57030/2904/246213/2564/116443/2893/2568/2903/116444/2892/2890/8973/2560/2566/2565/2891/2556/140679/89832/2569/2557",23
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","49/2364","101/7713",0.485148514851485,1.58288938030859,3.91984042685712,0.000116376362503072,0.00254573292975469,0.00218205679693259,"6641/115/7137/8516/7169/7168/111/59283/5350/5567/3673/284217/3679/782/6445/1674/1756/183/108/109/6543/6442/8910/8082/489/27092/22801/4842/6546/781/776/6547/7139/3690/4607/3695/487/3696/783/3479/1837/775/55799/4624/153/27091/786/4633/7273",49
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","41/2364","81/7713",0.506172839506173,1.65148524158676,3.91831059116517,0.000127441683992121,0.00262379937630837,0.00224897089397861,"5328/730/2244/2243/1191/2161/717/2162/3053/4179/624/5648/623/2147/2/2155/1675/5055/5054/2151/2266/5270/10544/2153/712/1361/1380/629/5345/11326/3075/714/1604/713/3426/3687/1378/725/3827/729/735",41
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","46/2364","95/7713",0.484210526315789,1.57982901415976,3.78017764419521,0.000197262904644351,0.00369074410817759,0.00316349494986651,"2906/5593/2904/115/2788/2775/111/54331/5567/55970/117/5579/5582/5187/6263/8912/108/2893/2770/109/94235/8863/5595/4842/2790/776/2786/2792/9252/2791/3708/2903/810/5332/2892/2890/5592/815/163688/775/51764/2982/4543/2891/51806/116",46
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","32/2364","60/7713",0.533333333333333,1.74010152284264,3.82579780762136,0.000200354680158212,0.00369074410817759,0.00316349494986651,"54884/54576/54575/5959/126/125/54905/10170/7366/54658/8608/7367/9227/79799/1562/8630/29785/1576/316/1558/145226/56603/1592/130/124/54600/54578/7363/1543/50700/6121/10720",32
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","29/2364","53/7713",0.547169811320755,1.78524566612393,3.813291854352,0.00022034435297344,0.0038560261770352,0.0033051652946016,"79154/54576/54575/6820/3291/1109/51170/3294/3284/7366/54658/7367/79799/8630/1576/1312/340811/1583/1646/1588/8644/54600/54578/7363/6716/1543/6783/1586/10720",29
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","10/2364","12/7713",0.833333333333333,2.71890862944162,3.9613279736607,0.000248803526942107,0.00412134783669579,0.00353258386002496,"4684/81607/30835/432/4179/1134/6504/10332/4804/4685",10
"Organismal Systems","Sensory system","hsa04742","Taste transduction","37/2364","73/7713",0.506849315068493,1.65369237187956,3.73043189336805,0.000259056149735164,0.00412134783669579,0.00353258386002496,"3352/5028/6338/6335/5567/6340/5030/22953/5726/6328/5137/285242/5136/8645/3359/9177/5332/80835/342372/5153/775/51764/259294/50831/259293/2914/50832/170572/50838/259290/2556/259289/259296/259292/2557/353164/2911",37
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","31/2364","59/7713",0.525423728813559,1.7142949324615,3.66125766184878,0.000356504031196051,0.00542506134428773,0.00465005258081806,"2949/27306/2329/54576/54575/126/2330/4128/125/222/7366/54658/7367/79799/4129/1576/2950/316/2946/1558/2938/2326/130/124/54600/54578/7363/2327/2939/2944/10720",31
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","52/2364","113/7713",0.460176991150442,1.5014150307713,3.56944522394125,0.000387586335483697,0.00565230072580391,0.00484482919354621,"2906/57030/2904/115/2899/2788/2775/9456/9762/246213/111/54331/5567/2901/55970/27165/5579/116443/5582/6505/5337/108/2893/2770/109/94235/5595/2790/776/2786/123745/2918/2792/2912/10991/2791/3708/2903/100137049/5332/116444/2892/2890/775/51764/2898/2914/283748/2891/2897/2911/2915",52
"Human Diseases","Substance dependence","hsa05034","Alcoholism","73/2364","171/7713",0.426900584795322,1.39284442069641,3.45339557587104,0.000509634021696685,0.00713487630375359,0.00611560826036022,"2906/2904/84699/2788/2775/111/54331/4128/5567/6655/55970/116443/92815/7054/83933/4852/8364/2770/94235/4129/2030/5595/85235/8366/8356/128312/8353/1813/8346/8358/2790/3014/8360/2786/8332/9734/8354/8367/8348/55869/2792/440689/8331/8335/814/317772/2791/6571/627/2903/8368/810/8359/116444/653604/8340/163688/8341/8338/6531/51764/8342/8343/3018/440093/2354/8968/8970/51806/8345/8350/121504/8352",73
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","45/2364","96/7713",0.46875,1.52938610406091,3.46966163156982,0.00057072655702504,0.007682857498414,0.006585306427212,"760/8671/1056/5906/115/477/493/1811/111/22802/6548/391013/482/5579/3778/6558/5645/5582/50487/5322/5644/490/108/492/109/489/6344/1359/23436/1361/8399/487/3708/5408/683/5332/491/64600/1179/952/26279/30814/1360/886/63036",45
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","29/2364","56/7713",0.517857142857143,1.68960750543872,3.44300471230702,0.000747811969903821,0.0096938588691236,0.00830902188782023,"6799/2949/27306/54576/54575/6817/7366/9/54658/7367/79799/1562/10/1576/2950/2946/1558/1646/2938/54600/54578/7363/6818/5743/1543/6822/2939/2944/10720",29
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","64/2364","149/7713",0.429530201342282,1.40142404524239,3.28921077919117,0.000907703748998463,0.0113462968624808,0.00972539731069781,"64091/115/84699/7137/477/7169/493/5523/11149/7168/111/59283/6548/6332/6330/5350/482/5567/28227/782/185/5502/154/183/490/108/492/2770/109/6543/5595/5521/489/5294/27092/596/148/6546/781/776/6547/6324/9252/7139/487/147/783/810/5332/491/5522/3776/815/163688/775/55799/4624/64208/153/27091/786/51806/4633/186",64
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","20/2364","35/7713",0.571428571428571,1.86439448875997,3.40716295477891,0.00100212923614872,0.0120946631948984,0.0103668541670558,"6898/126/4128/8639/125/222/7054/4129/4282/316/1312/7173/130/7306/124/3081/314/7299/5409/1638",20
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","33/2364","67/7713",0.492537313432836,1.60699674217744,3.31724510788974,0.00104799160370897,0.012226568709938,0.0104799160370897,"5593/1908/111/22802/5734/1907/5567/117/3778/4881/185/154/183/1909/2770/5139/5137/776/5136/3708/155/5972/810/5332/163688/5153/358/775/1179/2982/153/51806/116",33
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","36/2364","75/7713",0.48,1.56609137055838,3.27490183729252,0.00115395510713526,0.0130285254031401,0.0111673074884058,"51/2172/6258/4312/1376/6319/1374/6342/4973/23305/1962/6256/34/10580/2169/5105/364/5467/336/948/2168/10998/3158/28965/9415/4199/729359/1582/1375/5346/7350/2167/2173/33/9370/100509620",36
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","37/2364","79/7713",0.468354430379747,1.52809548287605,3.13632361548896,0.00173848631934642,0.0190146941178515,0.0162983092438727,"25984/3872/54474/3868/717/5648/1828/3866/1675/3857/2266/342574/712/1672/629/192666/3075/8688/3881/714/3882/3860/713/3683/3426/3886/3859/3885/2204/8687/125115/820/3586/8689/2358/147183/390792",37
"Organismal Systems","Endocrine system","hsa04923","Regulation of lipolysis in adipocytes","27/2364","54/7713",0.5,1.63134517766497,3.09491453298446,0.00220829819993047,0.0234213445447171,0.0200754381811861,"5593/5742/115/51099/11343/54979/111/5567/4881/364/154/4852/108/2770/109/63924/4886/155/5592/11145/5296/5346/153/5743/2167/1081/100509620",27
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","43/2364","96/7713",0.447916666666667,1.46141338832487,3.02416009313917,0.00230411375233979,0.0237188180387919,0.0203304154618216,"6641/7137/8516/7169/7168/59283/3673/284217/3679/782/6445/1674/1756/183/6543/6442/8910/8082/489/27092/22801/4842/6546/781/776/6547/7139/3690/4607/3695/487/3696/783/3479/1837/775/55799/5563/4624/27091/786/4633/7273",43
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","63/2364","152/7713",0.414473684210526,1.35229929201176,2.91618379948099,0.00284385492111607,0.0284385492111607,0.024375899323852,"1001/9076/137075/9075/4359/257194/57863/64115/4684/8516/58494/10686/51208/23562/9378/8174/4756/5792/80381/83700/9073/120425/6900/7122/152404/9080/22871/1366/57502/5010/933/22865/6614/54413/1272/23114/79679/1462/3695/3385/9074/25945/84631/94030/959/3696/920/6693/3683/1493/1013/8506/22854/57689/1002/49861/925/3897/4897/4685/9379/9071/149461",63
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","39/2364","87/7713",0.448275862068966,1.46258533169963,2.88452316398546,0.00353920887725314,0.0344089751955167,0.0294934073104429,"2563/5138/5151/115/2788/2775/111/54331/408/5567/27115/55970/2564/5579/5582/108/2770/109/94235/5139/2568/5137/2790/2786/5136/2792/5144/2791/5153/2560/51764/2566/10846/2565/2556/140679/2569/4988/2557",39
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","74/2364","185/7713",0.4,1.30507614213198,2.79206325055087,0.00391583913542494,0.037041721551317,0.031750047043986,"253152/595/6258/9314/4609/2949/54576/115/54575/84699/3326/1869/3838/990/7422/332/111/54852/408/7421/85315/5567/6655/6256/5579/993/1978/7366/5582/26281/54658/154/2053/7367/108/79799/8817/2770/109/5595/596/5241/776/1576/10683/2255/8600/2946/1136/2248/79852/1143/2253/155/367/2938/2247/8822/775/5296/54600/2254/54578/7363/27330/153/2252/7471/1543/89832/2249/2939/2944/10720",74
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","17/2364","31/7713",0.548387096774194,1.78921729163255,2.92692258034865,0.00427995324194089,0.039420621965245,0.0337891045416386,"7360/7358/54576/54575/6652/57016/7366/54658/7367/79799/55277/9365/54600/54578/7363/729020/10720",17
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","72/2364","180/7713",0.4,1.30507614213198,2.75316007045353,0.00439294462879656,0.0394238620533024,0.0337918817599735,"27250/994/595/4233/7148/2146/4609/6659/7473/9493/113130/960/1869/7422/5328/5268/898/7168/3162/672/1029/995/4082/1789/6655/1944/10018/27165/5579/5336/993/5582/6541/54541/90427/131405/10642/8434/7976/5595/406937/596/6935/1026/4854/5243/9252/3690/8091/407014/6624/5156/442891/1591/4318/5296/23414/9839/1946/442898/89780/5743/407019/406984/406983/7143/406903/406956/406954/619552/100500809/407011",72
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","39/2364","88/7713",0.443181818181818,1.44596504383941,2.7970045852619,0.00450941996041425,0.0394574246536247,0.0338206497031069,"1311/7148/3381/960/1101/8516/6696/1277/3673/284217/3679/1299/948/3161/5649/22801/1288/7058/375790/1278/3690/256076/9899/1282/3695/3696/2811/131873/10319/1758/7060/1287/1297/1298/158326/7143/2815/56955/1834",39
